address,address_short,label,class,terminal_inflow_possible_cell,direct_edge_count,paths,sample_tx_hashes,sample_paths
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x0d070796...40b492fe,Gate.io 1,CEX,26844681.00384876,123,123,1169bd5fb3ceaa3d8e4f393affd847d95674154516edfb68ac6c5c73cb92a6fc | 135424d3e1108d6c359eabcb6c8569af197c5a0cd8ae2dac92383700d6e83ac8 | 1e40446b9746d82c8170f1d89b5758197b8cc6d6ecc016c2a1c7bf0ee9ac998d | 26b59365a571586a76879104d059e2b548a964d0a708d628d8141314d24ad621 | 291eae2b85bbb3b0f6bdf5de1f65e1a52e7d7ccade4ea4cfec07533479f58db5 | 32e38feee4c6f7f07173bbab5fe2f597a4be126aceed1fb8a98265327edc6452 | 363ada7e416203ea6aaa68b46cb533561b217847179bf9f46d44d80306a7ab90 | 440d10fa957573747055b4faacd6e1693b0b85e8b04910dbae88d5d929340cf3 | 45c2a3c6682071aaa7e1f88f4c23f69f597707e4caee28b6c3c65b2dd4d3a455 | 4d3882072ee4acfcf1491f1e77e9d4880be9e34ee6981370d05b5726c51bc1d7,0xda8a4204...b6cc32f5 → 0x0d070796...40b492fe || 0x52105eee...2fc3a30d → 0x0d070796...40b492fe || 0x35ce1677...7a12ee60 → 0x52105eee...2fc3a30d → 0x0d070796...40b492fe || 0x35ce1677...7a12ee60 → 0xda8a4204...b6cc32f5 → 0x0d070796...40b492fe || 0x9c4cc862...a4331f32 → 0xdba91843...81ba4298 → 0x0d070796...40b492fe || 0x9c4cc862...a4331f32 → 0x13307b88...7a7a577b → 0x0d070796...40b492fe || 0x9c4cc862...a4331f32 → 0x15b70314...12b6fc12 → 0x0d070796...40b492fe || 0x9c4cc862...a4331f32 → 0xa701f9db...4dbd50db → 0x0d070796...40b492fe
0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af...b4009a80,MEV Bot,MEV_OR_SEARCHER,7807859.89022645,38,38,6390fddcb5b09b79918dc36f7a95b24dc3e94cf96284b3646b0193263092e3d5 | 6bda877708a319252743626668be93c7013253d91cb96c4d97699b6555c0c638 | 6e0b77bda3029f1273d0792f7e358456f44aae5efb2edf65e01e71f6c124fe66 | c45064d934efc54dc1c95dbed857ca71939dd7ef112a6044536972a5ccee576d | d7fe30af27d8ba40b12a70d9cd1f41d314d5c6cedd9711b6bf539fbddc186dc0 | db9f4f4bf58bb9c1a9be68ec5fe0718968cdbc5a3558b7af1b3ed063d2f23b27 | e10279a9acdcbf18e9ee6d054fff471b285add214bb8ffafd860874233741820 | e4f7b7579ed65ab953372515fdb35a04dd23cb92b6e1dd563becfd955304c4ce | ee6bf98d20e33644e7fa1ce6e75afafbeac92e0c26923c8e5506a5b68967445d,0x9c4cc862...a4331f32 → 0x6b75d8af...b4009a80 || 0x65def3ea...06068f27 → 0x9c4cc862...a4331f32 → 0x6b75d8af...b4009a80 || 0x65def3ea...06068f27 → 0xe6a2eca1...39fb5aad → 0x6b75d8af...b4009a80 || 0xd3ec4a01...e07c8539 → 0x08866a21...b9843fff → 0x6b75d8af...b4009a80 || 0xd3ec4a01...e07c8539 → 0xf226e1dd...87c367d9 → 0x6b75d8af...b4009a80 || 0xd3ec4a01...e07c8539 → 0xf4842dde...07f88eab → 0x6b75d8af...b4009a80 || 0xd3ec4a01...e07c8539 → 0x722ba462...156469a7 → 0x6b75d8af...b4009a80 || 0xd3ec4a01...e07c8539 → 0xbceddb08...54488e9a → 0x6b75d8af...b4009a80
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x75e89d59...3f1dcb88,MEXC 1,CEX,5965317.15886942,108,108,06ecebf523e3f1aacdf6277423acd4e83e02f40379472d2346eda454228c284b | 078e6bb2fc9603fe85bcd6f1ba903f0fb60c30a3354bd1f85993e343aa0f8409 | 0a526057070f82fb1cd6a3fea0ff0cc6180f6e03c5c4e431906a98e7979dcb91 | 11f9763bf76d2f23f070f478f34520a3b0de5fbcd648e940783c4e858d20d1ef | 18a86483532fe5c64a5f08604bc9b960c0de3d0b43b0e9a69bf8a57fff0de7c6 | 1f8c1757abf528e1e8ce1523473f7d6287a838497aadb2e22875b5eebc831ff0 | 23acc7098e04644a0099c29388bf839915a11dc89cf1cb2b7c6bab1c774030b4 | 2825991475e7ae0de2b592a0ad6cc5f83e78a3886034e46cf65c9394b6a58d7c | 2c9d3b94743aafa78630d99c8d0a125436f2eda207a7eb5fb8826ca3a9f0b7f6 | 2d631746d6e4010e083e0783161238911c4309ff6eb0b134d7f4fb85ce4d155d,0x50ebb082...6262d481 → 0x7d52b55d...36af6d42 → 0x75e89d59...3f1dcb88 || 0x50ebb082...6262d481 → 0x3a1d9d7c...b9b99b14 → 0x75e89d59...3f1dcb88 || 0xd3ec4a01...e07c8539 → 0xfd3853ae...1a3ccccc → 0x75e89d59...3f1dcb88 || 0x9c4cc862...a4331f32 → 0x4400b633...83ddfa22 → 0x75e89d59...3f1dcb88 || 0x9c4cc862...a4331f32 → 0x62d63efd...a41a0809 → 0x75e89d59...3f1dcb88 || 0x9c4cc862...a4331f32 → 0x3b82ff2e...7dd4970a → 0x75e89d59...3f1dcb88 || 0x9c4cc862...a4331f32 → 0x5cf78da3...5b0da78e → 0x75e89d59...3f1dcb88 || 0x9c4cc862...a4331f32 → 0xe3c29272...3dedc95c → 0x75e89d59...3f1dcb88
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x3fc91a3a...4b2b7fad,Uniswap Universal Router,DEX_ROUTER,5847681.30229135,35,35,2fbab0a3e4563d2a15b723457b1173f41fe7cccd76074843a269e685a40c144f | 58392117f9bd403f1c57985421d9e92628bde7960d5382a1db0b5eecb897ae7e | ad631d0eab965c757539327d6e1abe3794b6545cc2e22aced76a4754ab78a6be | ec5c5882d2fbc614c19c122dc182bcdd02bbdf5a46193beb2625c4dc86705784 | ef86a376a7437e0fb55a410d7f84fe84b76a55c843ccaae395e60afb992d16ee,0x9c4cc862...a4331f32 → 0x3fc91a3a...4b2b7fad || 0x65def3ea...06068f27 → 0x9c4cc862...a4331f32 → 0x3fc91a3a...4b2b7fad || 0x65def3ea...06068f27 → 0xe6a2eca1...39fb5aad → 0x3fc91a3a...4b2b7fad || 0xd3ec4a01...e07c8539 → 0x08866a21...b9843fff → 0x3fc91a3a...4b2b7fad || 0xd3ec4a01...e07c8539 → 0xf226e1dd...87c367d9 → 0x3fc91a3a...4b2b7fad || 0xd3ec4a01...e07c8539 → 0x722ba462...156469a7 → 0x3fc91a3a...4b2b7fad || 0xd3ec4a01...e07c8539 → 0xbceddb08...54488e9a → 0x3fc91a3a...4b2b7fad || 0x9c4cc862...a4331f32 → 0xdd753bae...223b45f9 → 0x3fc91a3a...4b2b7fad
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x74de5d4f...94016631,MetaMask: Swaps Spender,DEX_ROUTER,4401196.87111721,117,117,13350961ad51596d250284262a71cfe6d9f15c00ee7fdd60a21e6dee54868d50 | 14e8a3bcc1098d96821aeb7c033c8cab6c95668f1ae958192b1db784f925bda7 | 1d88f65d84a665f3b8f20cccb4e509880b97e6141c7a684792ecff62b795f721 | 1edf756cb0db62243ddde87b53d37ee1321773898531d12ac93c7fed3f00f354 | 1ffb058a095c6f8abf873104b744af2d975e9e04acbf153dfcc1053e7924b5c2 | 2618b06c57eff6bb612c981de8dceeb1966a1973731e3c4bd054aced86c82b3e | 2fad6b8034ed263e399d64c86936a6eff8d2b8a2f55be9a2caf7e7ec5ac9dd8f | 31de0b2a0dccc248cf2a59666ecdcfa74d66ed6da0ff86912cfe4517341f464d | 35117a5ea34e2b9ea29abc01db5c6056c36102ce892f0db85c3d9ed3e3817793 | 37a01d8c9b2b1e8cf01ee1a26de34b6cb18ebda0e2f595644902d38dd38bb200,0x65def3ea...06068f27 → 0x74de5d4f...94016631 || 0x9c4cc862...a4331f32 → 0x74de5d4f...94016631 || 0x50ebb082...6262d481 → 0x65def3ea...06068f27 → 0x74de5d4f...94016631 || 0x50ebb082...6262d481 → 0x0dac84a1...6d1ebf73 → 0x74de5d4f...94016631 || 0x65def3ea...06068f27 → 0x7232b18e...ffed4e4a → 0x74de5d4f...94016631 || 0x65def3ea...06068f27 → 0x9c4cc862...a4331f32 → 0x74de5d4f...94016631 || 0x65def3ea...06068f27 → 0x0ac67acb...8f6d2c9b → 0x74de5d4f...94016631 || 0x65def3ea...06068f27 → 0xe6a2eca1...39fb5aad → 0x74de5d4f...94016631
0x1111111254eeb25477b68fb85ed929f73a960582,0x11111112...3a960582,1inch Aggregation Router V5,DEX_ROUTER,3536885.08822251,47,47,0d88de1d66419aace7dbcb9b7168fa378021e0f74e8d5b9281e355518e0edb02 | 352fc0ff66c409bef0a23788e0cb69b1750e2c629947148de7122a2f105b81f0 | 407378b2b8b3a9665360571e9d23d6eb114f529941e4c7f89ea9c0ba460e0f75 | 51deccc5dbe6764cb3af1b11d3411496684410df82085ea8df7566e1cd07ffe9 | 5ad984f7d8d42b1bea60bda278d97a73f80fe026bb9cb0a1801bf870e0f79c00 | 64d69051b74567ee8a37107ea62c249dfb54279225e944f3001377bc4c57a3a7 | 6e48fedada44a4ca38c3f42f52cd0ed6d819798eb5a8333a43ff7346129a9899 | 71056e6e41b181cec4c41e03accd444b2ad74f0833bfbb46eb03496b88678fb4 | 94fd9fe9b0c107289ef0d149baaf9afc96a79bcf664cc5fc6a5cd5977d32e029 | 9897bca3d3d93c7e0c6f98296c1c8f55ab9303b0e29c85da69c951912355bfe6,0x9c4cc862...a4331f32 → 0x11111112...3a960582 || 0x65def3ea...06068f27 → 0x9c4cc862...a4331f32 → 0x11111112...3a960582 || 0x65def3ea...06068f27 → 0xe6a2eca1...39fb5aad → 0x11111112...3a960582 || 0xd3ec4a01...e07c8539 → 0x08866a21...b9843fff → 0x11111112...3a960582 || 0xd3ec4a01...e07c8539 → 0xf226e1dd...87c367d9 → 0x11111112...3a960582 || 0xd3ec4a01...e07c8539 → 0xf4842dde...07f88eab → 0x11111112...3a960582 || 0xd3ec4a01...e07c8539 → 0x722ba462...156469a7 → 0x11111112...3a960582 || 0x9c4cc862...a4331f32 → 0xdd753bae...223b45f9 → 0x11111112...3a960582
0x3cc936b795a188f0e246cbb2d74c5bd190aecf18,0x3cc936b7...90aecf18,MEXC 3,CEX,2081276.07784046,56,56,0195eaacd8249143279327ab0225f0f49f2fb3fa4e70c4c1b66929cc6d457e89 | 058c3576da1c10fcac51d104ddd1bca48d65de9acf84b7216f74a0dfd4fdce46 | 0ebb060681f6dbc8e2bce2ecf031c3c8cf5651024e62f52feda5cfbdf784b07f | 17c5c8f04a9089aa58c8900dc72ce1a6d1548906ee37c6bbce980f5fac8e5aa1 | 1c4f18840d6fb5d32b906d00767c3af724ecf125f14e1073e7702853761e5e0c | 1e02c0588f4c79cf55a65facf4ba1152c969902f17df21a63499a57b85866cd5 | 25ec36cb968ef5268c6c0eaf8ca1e61632add45f44a5daa8a6e818b80a433736 | 27b5db0368bef4833190f624a2c89c066857ceb278e72466265830e6faa06ed8 | 2e14ac9ffa73aa4fc966a855fb1e7c0ece54069922abb2534e44621520b4e9f0 | 33acd82268a7352b31f8a8fc5026e7cabfe93a0978cfce338dd1c1e5f127275b,0x9c4cc862...a4331f32 → 0x4400b633...83ddfa22 → 0x3cc936b7...90aecf18 || 0x9c4cc862...a4331f32 → 0x62d63efd...a41a0809 → 0x3cc936b7...90aecf18 || 0x9c4cc862...a4331f32 → 0x3b82ff2e...7dd4970a → 0x3cc936b7...90aecf18 || 0x9c4cc862...a4331f32 → 0x5cf78da3...5b0da78e → 0x3cc936b7...90aecf18 || 0x9c4cc862...a4331f32 → 0xe3c29272...3dedc95c → 0x3cc936b7...90aecf18 || 0x9c4cc862...a4331f32 → 0xc9a667f9...79f378bb → 0x3cc936b7...90aecf18 || 0x9c4cc862...a4331f32 → 0x32ff66ba...0690518d → 0x3cc936b7...90aecf18 || 0x4a831a8e...0b9ab531 → 0xaff97a64...b3629f9d → 0xc9f8194a...24cf4cb3 → 0x3cc936b7...90aecf18
0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xef1c6e67...2554bf6b,Uniswap / router contract,DEX_ROUTER,1090979.6040017,28,28,a64c27277cd333b25b70970060e47a678e03cfb3e0453ac40c75fc2015d6103c | b251e59b5a83b40afffbbb13c7ea02a5ec947f2b4242334ae40ce628e52031fc | b34197aa60b18d73273dfbbf1ebbd1f4258ce8ac262d446a697fe00c308d387b | cf136a2225625b896476f4097652f39a69caf66018f03418979163e1f53dfda0 | e08d77fb97aa2a55cba0332711aa9cfb809b3ad21e4fcde7439c0c49358a63b9,0x9c4cc862...a4331f32 → 0xef1c6e67...2554bf6b || 0x65def3ea...06068f27 → 0x9c4cc862...a4331f32 → 0xef1c6e67...2554bf6b || 0x65def3ea...06068f27 → 0xe6a2eca1...39fb5aad → 0xef1c6e67...2554bf6b || 0xd3ec4a01...e07c8539 → 0x08866a21...b9843fff → 0xef1c6e67...2554bf6b || 0xd3ec4a01...e07c8539 → 0xf226e1dd...87c367d9 → 0xef1c6e67...2554bf6b || 0xd3ec4a01...e07c8539 → 0x722ba462...156469a7 → 0xef1c6e67...2554bf6b || 0x9c4cc862...a4331f32 → 0xdd753bae...223b45f9 → 0xef1c6e67...2554bf6b || 0x4a831a8e...0b9ab531 → 0xd95d47e2...36b6dcf2 → 0x9c4cc862...a4331f32 → 0xef1c6e67...2554bf6b
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d56...59f2488d,Uniswap V2 Router 2,DEX_ROUTER,885311.17253927,5,5,44e3c847dcae64354e3979223598ca208bb2168eb0634205d4becb821d8ef1f2,0x9c4cc862...a4331f32 → 0x7a250d56...59f2488d || 0x65def3ea...06068f27 → 0x9c4cc862...a4331f32 → 0x7a250d56...59f2488d || 0x4a831a8e...0b9ab531 → 0xd95d47e2...36b6dcf2 → 0x9c4cc862...a4331f32 → 0x7a250d56...59f2488d || 0x4a831a8e...0b9ab531 → 0xd95d47e2...36b6dcf2 → 0x5f515f6c...2e9904ec → 0x9c4cc862...a4331f32 → 0x7a250d56...59f2488d || 0x4a831a8e...0b9ab531 → 0x35ce1677...7a12ee60 → 0x50ebb082...6262d481 → 0x65def3ea...06068f27 → 0x9c4cc862...a4331f32 → 0x7a250d56...59f2488d
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0xdef171fe...176fee57,ParaSwap / router contract,DEX_ROUTER,829162.27512582,42,42,01ba082caae8f2600728f8f6c0ccbbb4288cda056e98d7ab91446fd7cce5db95 | 1fab8b13be0048eb61c0593e102d11bcafc43dfb7120de45170bf8d32a214748 | 21b9be1f888565671e63e983e3b7d506b2777ae6de9f4e20ce92f47ec6ffdba4 | 237dbfe036382b9f55645603309d93c3b15f64cabfd7a05966a158eff728349b | 4a7bf71c1579d86105da29225692750002a17608a8fb14b39c0ad68cd241a08e | 624b323cf3f18ad2ef6ebacdf61cd0a8a67700890f43cff2bd72376d559786c6 | 65bae04619dce681382b04cb508b714e772fa0cf42e51787a5d37f5df191c7ef,0x9c4cc862...a4331f32 → 0xdef171fe...176fee57 || 0x65def3ea...06068f27 → 0x9c4cc862...a4331f32 → 0xdef171fe...176fee57 || 0x65def3ea...06068f27 → 0xa787f093...0cac9406 → 0xdef171fe...176fee57 || 0x65def3ea...06068f27 → 0xe6a2eca1...39fb5aad → 0xdef171fe...176fee57 || 0xd3ec4a01...e07c8539 → 0x08866a21...b9843fff → 0xdef171fe...176fee57 || 0xd3ec4a01...e07c8539 → 0xf226e1dd...87c367d9 → 0xdef171fe...176fee57 || 0xd3ec4a01...e07c8539 → 0x722ba462...156469a7 → 0xdef171fe...176fee57 || 0xd3ec4a01...e07c8539 → 0xbceddb08...54488e9a → 0xdef171fe...176fee57
0x000000000035b5e5ad9019092c665357240f594e,0x00000000...240f594e,Aggregator / settlement contract,DEX_ROUTER,777660.5737797,9,9,1d757d5f9e2cb052120024d47e47eca4391ff189a00f9322215b751562377d2c | bae187d2ad44381583e46a7eab451d627b71d7df4c37ef26b6f6f8d0871703b1,0x9c4cc862...a4331f32 → 0x00000000...240f594e || 0x65def3ea...06068f27 → 0x9c4cc862...a4331f32 → 0x00000000...240f594e || 0x65def3ea...06068f27 → 0xe6a2eca1...39fb5aad → 0x00000000...240f594e || 0x4a831a8e...0b9ab531 → 0xd95d47e2...36b6dcf2 → 0x9c4cc862...a4331f32 → 0x00000000...240f594e || 0x4a831a8e...0b9ab531 → 0x3de1b88d...31a28894 → 0xe6a2eca1...39fb5aad → 0x00000000...240f594e || 0x4a831a8e...0b9ab531 → 0xd95d47e2...36b6dcf2 → 0x9c4cc862...a4331f32 → 0xe6a2eca1...39fb5aad → 0x00000000...240f594e || 0x4a831a8e...0b9ab531 → 0xd95d47e2...36b6dcf2 → 0x5f515f6c...2e9904ec → 0x9c4cc862...a4331f32 → 0x00000000...240f594e || 0x4a831a8e...0b9ab531 → 0x35ce1677...7a12ee60 → 0x50ebb082...6262d481 → 0x65def3ea...06068f27 → 0x9c4cc862...a4331f32 → 0x00000000...240f594e
0x9008d19f58aabd9ed0d60971565aa8510560ab41,0x9008d19f...0560ab41,CoW Protocol Settlement,DEX_ROUTER,636673.09429391,37,37,0472e0564c71b10cc9e165e35e3358bf29d37e5de7afd5010cb5ba8942283bbc | 123243a4b0ade8e10050a3a097e89ff1f44fe91ae8e1a398834f6d9c5f4e1b94 | 14b03b1aa079817f1fd390f73f2ff42e0f871ef6c42840da30cbdf5c9cc26530 | 4197a381a7d4169f5cab5ebff6cea5af8262627093555b716e0f4c4001c5081c | 475e6982d36c413915586ad0bacc63d2b875036d608afbeaa5dbe08736316b6c | 50980ee941647d859b5c0c14e097071feee79b5a0bba7c1c9cc63ebe6a07ddf1 | 6066013c878354a0d4448c1f041432a3a8ad728061b37cfbf74a2807c5778040 | 8d5899a716b94f57a5cff3f4f326a5a58c1a01629ff67179ae68696a1e31e25c | 91d47afd2470e6c429824bb26835319bfaae6ff8bc3c935a6c5ead29e7d88d78,0x9c4cc862...a4331f32 → 0x9008d19f...0560ab41 || 0x65def3ea...06068f27 → 0x9c4cc862...a4331f32 → 0x9008d19f...0560ab41 || 0xd3ec4a01...e07c8539 → 0x08866a21...b9843fff → 0x9008d19f...0560ab41 || 0xd3ec4a01...e07c8539 → 0xf226e1dd...87c367d9 → 0x9008d19f...0560ab41 || 0xd3ec4a01...e07c8539 → 0x722ba462...156469a7 → 0x9008d19f...0560ab41 || 0x9c4cc862...a4331f32 → 0xdd753bae...223b45f9 → 0x9008d19f...0560ab41 || 0x9c4cc862...a4331f32 → 0x22f9dcf4...5c178c18 → 0x9008d19f...0560ab41 || 0x9c4cc862...a4331f32 → 0x11111112...0643097d → 0x9008d19f...0560ab41
